Company,Role,Location,Application Link,Date Posted
Medtronic,Cloud Software Engineer 1 - Neuro,"Brooklyn Park, MN",https://medtronic.wd1.myworkdayjobs.com/redeploymentmedtroniccareers/job/Fridley-Minnesota-United-States-of-America/Cloud-Software-Engineer-I---Neuro---Rice-Creek-Fridley--MN_R66348?utm_source=Simplify&ref=Simplify,2d
🔥 Amazon,Software Engineer 1,"Seattle, WA
SF",https://amazon.jobs/en/jobs/3141336/software-engineer-i?utm_source=Simplify&ref=Simplify,2d
Rocket Lab USA,Flight Software Engineer 1,"Littleton, CO",https://job-boards.greenhouse.io/rocketlab/jobs/7734583003?utm_source=Simplify&ref=Simplify,2d
Dexcom,IOS/Andriod Engineer 1,"Portland, OR",https://dexcom.wd1.myworkdayjobs.com/Dexcom/job/Portland-Oregon/iOS-Andriod-Engineer-1_JR118876?utm_source=Simplify&ref=Simplify,2d
General Dynamics Mission Systems,Software Engineer - Entry Level,"Pittsfield, MA",https://careers-gdms.icims.com/jobs/72777/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,3d
Torc Robotics,Software Engineer 1 - Metrics for Release Implementation,Remote in USA,https://job-boards.greenhouse.io/torcrobotics/jobs/8554811002?utm_source=Simplify&ref=Simplify,3d
BCBST,Associate Software Engineer 1,"Chattanooga, TN",https://bcbst.wd1.myworkdayjobs.com/en-US/External/job/USA-TN-Chattanooga-Remote/Associate-Software-Engineer-I_R-49311?utm_source=Simplify&ref=Simplify,3d
Captivation,Software Engineer 1 - Linux/HPC/Bash/Python/Docker/Gitlab/CI/CD,"Annapolis Junction, MD",https://job-boards.greenhouse.io/captivation/jobs/5230024008?utm_source=Simplify&ref=Simplify,6d
LVT,Software Engineer 1,"American Fork, UT",https://job-boards.greenhouse.io/liveviewtechnologiesinc/jobs/5225887008?utm_source=Simplify&ref=Simplify,7d
Sony Interactive Entertainment,Software Engineer 1,"San Diego, CA",https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5859292004?utm_source=Simplify&ref=Simplify,7d
Apex Fintech Solutions,Software Engineer 1 - Aldp,"Austin, TX",https://peak6group.wd1.myworkdayjobs.com/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103501?utm_source=Simplify&ref=Simplify,8d
Julius AI,Refresh Software Engineer New Grad - Product,SF,https://jobs.ashbyhq.com/julius/5e0b677a-f677-44de-93c6-f7848ab5a8e6/application?utm_source=Simplify&ref=Simplify,9d
Quince,Software Development Engineer New Grad,"Palo Alto, CA",https://job-boards.greenhouse.io/quince/jobs/5226786008?utm_source=Simplify&ref=Simplify,9d
Altamira Technologies,Junior Software Engineer,"Wright-Patterson AFB, OH",https://jobs.jobvite.com/altamiracorps/job/oaYaAfwC?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify,9d
Toast,Software Engineer 1 - Fullstack - Employee Development,Canada,https://boards.greenhouse.io/embed/job_app?token=7895601&utm_source=Simplify&ref=Simplify,10d
Captivation,Software Engineer 1 - AWS/Docker/Kubernetes/Java/Javascript/Kibana/Git,"Annapolis Junction, MD",https://job-boards.greenhouse.io/captivation/jobs/5225182008?utm_source=Simplify&ref=Simplify,10d
↳,Software Engineer 0 - Java,"Annapolis Junction, MD",https://job-boards.greenhouse.io/captivation/jobs/5225203008?utm_source=Simplify&ref=Simplify,10d
↳,Software Engineer 1 - Java/Mapreduce/Cloud/Ghostmachine/QTA,"Annapolis Junction, MD",https://job-boards.greenhouse.io/captivation/jobs/5225213008?utm_source=Simplify&ref=Simplify,10d
Symbotic,Software Engineer New Grad,"Burlington, MA",https://symbotic.wd504.myworkdayjobs.com/Symbotic/job/USA-Wilmington--MA---HQ/New-Grad--Software-Engineer_R6770?utm_source=Simplify&ref=Simplify,10d
Cadence Design Systems,Software Engineer – New College Grad - Numerical Analysis - C++ 🎓,"Boston, MA",https://cadence.wd1.myworkdayjobs.com/University_Talent/job/BOSTON-02/Software-Engineer--Numerical-Analysis--C----Optimization--Mathematics----New-College-Grad_R52506-1?utm_source=Simplify&ref=Simplify,11d
Symbotic,Software Engineer New Grad - Machine Learning Operations,"Burlington, MA",https://symbotic.wd504.myworkdayjobs.com/Symbotic/job/USA-Wilmington--MA---HQ/Software-Engineer---ML-Ops_R6028?utm_source=Simplify&ref=Simplify,11d
General Dynamics Mission Systems,Entry Level Software Engineer,"Brooklyn, OH",https://careers-gdms.icims.com/jobs/72592/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,11d
General Dynamics Information Technology,Full Stack Engineer Junior,"Honolulu, HI",https://gdit.wd5.myworkdayjobs.com/external_career_site/job/USA-HI-Camp-Smith/Full-Stack-Engineer-Junior_RQ220280-1?utm_source=Simplify&ref=Simplify,13d
Cadence Design Systems,Software Engineer New Grad - Numerical Analysis - C++ 🎓,"Boston, MA",https://cadence.wd1.myworkdayjobs.com/External_Careers/job/BOSTON-02/Software-Engineer_R52506-1?utm_source=Simplify&ref=Simplify,13d
↳,Software Engineer New Grad - Numerical Analysis - C++ 🎓,"Boston, MA",https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/BOSTON-02/Software-Engineer_R52506?utm_source=Simplify&ref=Simplify,13d
DAT Freight & Analytics,Software Engineer 1,"Denver, CO",https://careers.dat.com/jobs/5990621004?gh_jid=5990621004&utm_source=Simplify&ref=Simplify,15d
General Dynamics Mission Systems,Entry Level Software Engineer,"Manassas, VA",https://careers-gdms.icims.com/jobs/72627/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,15d
Twitch,Software Engineer 1,"Seattle, WA
SF",https://job-boards.greenhouse.io/twitch/jobs/8548960002?utm_source=Simplify&ref=Simplify,16d
Instabase,Full-stack Software Engineer New Grad,SF,https://job-boards.greenhouse.io/instabase/jobs/8548929002?utm_source=Simplify&ref=Simplify,16d
Twitch,Software Engineer 1,SF,https://job-boards.greenhouse.io/twitch/jobs/8367555002?utm_source=Simplify&ref=Simplify,16d
Cadence Design Systems,Software Engineer 1,"San Jose, CA",https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/Software-Engineer-I_R54764-1?utm_source=Simplify&ref=Simplify,16d
General Dynamics Mission Systems,Entry Level Infrastructure Software Engineer,"Pittsfield, MA",https://careers-gdms.icims.com/jobs/72580/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,16d
Cadence Design Systems,Software Engineer 1,"San Jose, CA",https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/SAN-JOSE/Software-Engineer-I_R54764?utm_source=Simplify&ref=Simplify,16d
TSC,Software Engineer 1,"Silver Spring, MD",https://tsc.wd12.myworkdayjobs.com/en-US/TSC-Careers/job/Silver-Spring-MD/Software-Engineer-I_JR2567-1?utm_source=Simplify&ref=Simplify,16d
Tektronix,Software Security Engineer (Entry-Level) 🇺🇸,"Beaverton, OR
Solon, OH",https://ralliant.eightfold.ai/careers/job/1133912499916?domain=ralliant.com&utm_source=Simplify&ref=Simplify,16d
Cerebras,ML Stack Optimization Engineer New Grad 🎓,"Toronto, ON, Canada",https://boards.greenhouse.io/embed/job_app?token=7620986003&utm_source=Simplify&ref=Simplify,18d
Fullbay,Software Engineer 1,"Phoenix, AZ",https://fullbay.bamboohr.com/careers/235/?utm_source=Simplify&ref=Simplify,22d
Sigma Defense,Software Engineer I 🇺🇸,"Fairmont, WV",https://apply.workable.com/sigmadefense/j/2F863B2054/?utm_source=Simplify&ref=Simplify,22d
Glean,Software Engineer New Grad,California,https://job-boards.greenhouse.io/gleanwork/jobs/4592324005?utm_source=Simplify&ref=Simplify,23d
Compa,Software Engineer New Grad,"Denver, CO",https://jobs.ashbyhq.com/compa/ce7b36cc-3517-46c0-98fe-99924ab400da/application?utm_source=Simplify&ref=Simplify,25d
🔥 ServiceNow,"Associate Software Engineer, Search Infrastructure - Moveworks 🇺🇸","Mountain View, CA",https://jobs.smartrecruiters.com/ServiceNow/99c06c61-284f-4c2b-bd4d-1a7b53bf3fa4?utm_source=Simplify&ref=Simplify,25d
↳,"Associate Software Engineer, Core Infrastructure - Moveworks 🇺🇸","Mountain View, CA",https://jobs.smartrecruiters.com/ServiceNow/2274d8e3-af4a-4935-b065-f65622b5ea3f?utm_source=Simplify&ref=Simplify,25d
BAE Systems,Entry Level Software Engineer 🇺🇸,"Totowa, NJ",https://jobs.baesystems.com/global/en/job/BAE1US124432BREXTERNAL/Entry-Level-Software-Engineer?utm_source=Simplify&ref=Simplify,25d
Stewart,Software Engineer 1,"Plymouth, MI",https://stewart.wd1.myworkdayjobs.com/External/job/USA-MI-Plymouth---40600-Ann-Arbor-Rd/Software-Engineer-I_JR107742?utm_source=Simplify&ref=Simplify,28d
Speechify,"Software Engineer, iOS Core Product","College Park, MD",https://job-boards.greenhouse.io/speechify/jobs/5981223004?utm_source=Simplify&ref=Simplify,28d
↳,"Software Engineer, iOS Core Product","College Park, MD",https://job-boards.greenhouse.io/speechify/jobs/5981193004?utm_source=Simplify&ref=Simplify,28d
IXL Learning,Software Engineer – New Grad,"San Mateo, CA",https://www.ixl.com/company/jobs?gh_jid=8530389002&utm_source=Simplify&ref=Simplify,29d
↳,Software Engineer – New Grad,"Raleigh, NC",https://www.ixl.com/company/jobs?gh_jid=8530542002&utm_source=Simplify&ref=Simplify,29d
Twitch,Software Engineer 1,SF,https://job-boards.greenhouse.io/twitch/jobs/8367602002?utm_source=Simplify&ref=Simplify,1mo
GM financial,Software Development Engineer 1,"Arlington, TX",https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2254?utm_source=Simplify&ref=Simplify,1mo
🔥 Airbnb,iOS Software Engineer – New Grad,"Seattle, WA
SF",https://careers.airbnb.com/positions/7859317?gh_jid=7859317&utm_source=Simplify&ref=Simplify,1mo
🔥 Notion,Software Engineer – New Grad - AI,SF,https://jobs.ashbyhq.com/notion/7e6dc7fe-7ddd-42c1-8928-13f7bddb9ec9/application?utm_source=Simplify&ref=Simplify,1mo
Handshake,Software Engineer 1 - Coding Pod,SF,https://jobs.ashbyhq.com/handshake/c8550c33-fd2c-4ba6-aa5a-d1e2574b0b06/application?utm_source=Simplify&ref=Simplify,1mo
SeatGeek,Software Engineer – New Grad,NYC,https://seatgeek.com/jobs/7858968?gh_jid=7858968&utm_source=Simplify&ref=Simplify,1mo
Mirage,Software Engineer – Early Career,NYC,https://jobs.ashbyhq.com/mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7/application?utm_source=Simplify&ref=Simplify,1mo
Twitch,Software Engineer 1,SF,https://job-boards.greenhouse.io/twitch/jobs/8519628002?utm_source=Simplify&ref=Simplify,1mo
Loop,New Grad - Full-Stack,"Chicago, IL",https://job-boards.greenhouse.io/loop/jobs/5981831004?utm_source=Simplify&ref=Simplify,1mo
GM financial,Software Development Engineer 1,"Arlington, TX",https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2227?utm_source=Simplify&ref=Simplify,1mo
↳,Software Development Engineer 1,"Arlington, TX
Irving, TX",https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2078?utm_source=Simplify&ref=Simplify,1mo
Wonderschool,Early Career Software Engineer - Applied AI,SF,https://job-boards.greenhouse.io/wonderschool/jobs/6359139003?utm_source=Simplify&ref=Simplify,1mo
🔥 Notion,Software Engineer – New Grad,SF,https://jobs.ashbyhq.com/notion/a6311f97-4850-4674-a5f3-d9fe5f6f2555/application?utm_source=Simplify&ref=Simplify,1mo
Fortinet,Junior Software Developer,"Santa Clara, CA",https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/22744?utm_source=Simplify&ref=Simplify,1mo
TransMarket Group,Junior Software Engineer,"Chicago, IL",https://job-boards.greenhouse.io/transmarketgroup/jobs/5111912007?gh_jid=5111912007&utm_source=Simplify&ref=Simplify,1mo
Rokt,Junior Software Engineer,NYC,https://apply.workable.com/rokt/j/783A754DDB/apply?utm_source=Simplify&ref=Simplify,1mo
Liquid,Member of Technical Staff,"New York, NY",https://jobs.ashbyhq.com/liquid/7b47044b-4b81-44b4-8986-ea5eaaa85c27?utm_source=Simplify&ref=Simplify,1mo
Genalyte,Software Engineer I,"San Diego, CA",https://genalyte.applytojob.com/apply/ms4az9EW8x/Software-Engineer-I?utm_source=Simplify&ref=Simplify,1mo
Whoop,Software Engineer 1 - Quality,"Boston, MA",https://jobs.lever.co/whoop/b7f75849-b5c0-49fe-8d24-50cbb39d284d/apply?utm_source=Simplify&ref=Simplify,1mo
General Dynamics Mission Systems,Junior RUST Embedded Software Engineer (cleared) 🇺🇸,"Dedham, MA",https://careers-gdms.icims.com/jobs/71965/junior-rust-embedded-software-engineer-%28cleared%29/job?utm_source=Simplify&ref=Simplify,1mo
Realm,Software Engineer - New Grad 🇺🇸,Remote in US,https://jobs.ashbyhq.com/realmalliance/56d8b433-31ad-43a2-997e-b8538f5f2c9f?utm_source=Simplify&ref=Simplify,1mo
CACI,Junior C# Software Engineer 🇺🇸,"Bethesda, MD",https://caci.wd1.myworkdayjobs.com/en-US/external/job/US-MD-Bethesda/Junior-C--Software-Engineer_324627?utm_source=Simplify&ref=Simplify,1mo
Leidos,Junior Software Engineer 🇺🇸,"Columbia, MD",https://leidos.wd5.myworkdayjobs.com/en-US/external/job/Columbia-MD/Junior-Software-Engineer_R-00180476?utm_source=Simplify&ref=Simplify,1mo
KBR,Junior Communications Systems Software Engineer 🇺🇸,"Beavercreek, OH",https://kbr.wd5.myworkdayjobs.com/en-US/kbr_careers/job/Beavercreek-Ohio/Junior-Communications-Systems-Software-Engineer_R2121814?utm_source=Simplify&ref=Simplify,1mo
Affirm,Software Engineer 1 - Full-Stack,Remote in USA,https://job-boards.greenhouse.io/affirm/jobs/7685236003?utm_source=Simplify&ref=Simplify,1mo
Berkshire Hathaway Energy,Software Engineer 1 - Automation,6 locations,https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004755?utm_source=Simplify&ref=Simplify,1mo
Enludio,Software Engineer 1,"Orlando, FL",https://ats.rippling.com/enludio-careers/jobs/e27fdf13-f31e-465f-80a8-66d53c98db97?utm_source=Simplify&ref=Simplify,1mo
Sigma Computing,Software Engineer New Grad,"SF
NYC",https://job-boards.greenhouse.io/sigmacomputing/jobs/7690411003?utm_source=Simplify&ref=Simplify,1mo
Navan,New College Grad Software Engineer - Backend,"Palo Alto, CA",https://navan.com/careers/openings?gh_jid=7777949&utm_source=Simplify&ref=Simplify,1mo
FlexAI,Software Engineer – New Grad,"San Jose, CA",https://ats.rippling.com/flexai/jobs/93ada67c-8527-427c-b2f6-4a5557b00674?utm_source=Simplify&ref=Simplify,1mo
Aquatic Capital Management,Software Engineer – Early Career,"Chicago, IL
NYC",https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489226002?utm_source=Simplify&ref=Simplify,1mo
Berkshire Hathaway Energy,Software Engineer 1 Intern,5 locations,https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004645?utm_source=Simplify&ref=Simplify,1mo
Worldpay,Software Engineer 1 - Mainframe,"Cincinnati, OH",https://worldpay.wd5.myworkdayjobs.com/Worldpay_External_Careers_Site/job/CINCINNATI-OHIO/Software-Engineer-I---Mainframe_JR0609191-1?utm_source=Simplify&ref=Simplify,1mo
General Dynamics Mission Systems,Junior Full Stack Engineer (Java/React) 🇺🇸,"Dedham, MA",https://careers-gdms.icims.com/jobs/71647/junior-full-stack-engineer-%28java-react%29/job?utm_source=Simplify&ref=Simplify,2mo
Scout AI,Junior Firmware Engineer 🇺🇸,"Sunnyvale, CA",https://job-boards.greenhouse.io/scoutai/jobs/4643333008?utm_source=Simplify&ref=Simplify,2mo
PlayStation,Software Engineer 1,"Madison, WI",https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5840954004?utm_source=Simplify&ref=Simplify,2mo
↳,Software Engineer 1,LA,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5840958004?utm_source=Simplify&ref=Simplify,2mo
